animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
albatross,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
auk,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
bluebird,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
canary,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
cardinal,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
condor,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
cormorant,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
eagle,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
emu,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,0,2
falcon,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
finch,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
flamingobig,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
grebe,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
grouse,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
heron,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
jay,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
kingfisher,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
magpie,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
nightingale,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
owl,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
pigeon,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
adder,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
alligator,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,3
anole,0,0,1,0,0,0,0,1,1,1,0,0,4,1,0,0,3
ballpython,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
